feature_idx,token_id,shap_value
0,101,-0.000592034
1,2061,0.000288946
2,1010,-4.63363e-05
3,2017,0.000665107
4,10587,0.000212984
5,2022,0.000208369
6,1037,0.00302951
7,2600,-0.000381671
8,2732,-0.000173648
9,1029,0.00528308
10,2156,0.00215914
11,2023,-0.000246561
12,3185,0.00275587
13,1012,-0.000682756
14,2017,-0.000321298
15,2123,-0.00017104
16,1005,-0.000715213
17,1056,-0.000402958
18,2066,-8.15574e-05
19,2600,-0.000493223
20,1010,-0.000333727
21,2017,-0.000667127
22,2360,0.00564868
23,1029,0.00241254
24,2030,0.00257078
25,2017,1.76743e-05
26,1005,-0.000568627
27,2128,-0.000196288
28,2428,0.00317424
29,2046,0.00256656
30,3082,-0.000567212
31,3384,-0.000196038
32,1029,0.000503469
33,2059,0.000432007
34,2404,-0.000733128
35,2006,0.00259953
36,2115,0.00331863
37,5440,-0.000937958
38,2201,-0.000642402
39,1998,2.14046e-05
40,3959,-0.000829472
41,4426,-0.000872772
42,2185,-9.05476e-05
43,1010,-0.000146007
44,2023,-0.000320799
45,3185,-0.000464833
46,2038,-0.000560564
47,2498,-0.000100926
48,2000,0.00264516
49,3749,0.00256815
50,1012,0.00251195
51,6524,-0.000362596
52,2031,0.00240852
53,1045,7.85707e-05
54,2412,-0.000291658
55,2464,-0.000195737
56,1037,0.000611788
57,3185,-0.00109791
58,2108,-0.000606477
59,2583,-0.000114264
60,2000,0.002584
61,6533,0.00299046
62,1996,0.0022854
63,102,-0.000561534
