feature_idx,token_id,shap_value
0,101,-0.000592074
1,1045,0.000288894
2,2123,-5.6806e-05
3,1005,0.0004142
4,1056,0.000212975
5,2228,0.000208366
6,1045,0.00300475
7,2428,-0.000358466
8,2031,-0.000173659
9,2151,0.00521841
10,27594,0.0036412
11,2545,-0.000266886
12,1999,0.00266339
13,2182,-0.000631918
14,2021,-0.000321301
15,2144,-0.000156806
16,1045,-0.000715285
17,2079,-0.000402957
18,6235,-8.20115e-05
19,1037,-0.000493185
20,3232,-0.000333319
21,1997,-0.000667127
22,6057,0.00608282
23,5019,0.00264681
24,1010,0.00251093
25,1045,1.76778e-05
26,1005,-0.000775269
27,2222,-0.00155596
28,4638,0.003304
29,1996,0.00250403
30,3482,-0.000586019
31,3038,-0.000196208
32,1005,0.000501943
33,2453,0.000432003
34,5383,-0.000727992
35,27594,0.00410194
36,2545,0.00334388
37,1005,-0.000937986
38,2074,-0.000772887
39,2000,2.14014e-05
40,2022,-0.000823305
41,2006,-0.000818576
42,1996,-9.02338e-05
43,3647,-0.000146217
44,2217,-0.00167783
45,1012,-0.000661217
46,2085,-0.000499794
47,1012,-0.000100919
48,1012,0.00258979
49,1012,0.00240654
50,1026,0.00251278
51,7987,-0.000362589
52,1013,0.00234875
53,1028,7.85738e-05
54,1026,-0.000286367
55,7987,-0.000195735
56,1013,0.000600615
57,1028,-0.000898438
58,1045,-0.000369562
59,6684,-0.000173559
60,2113,0.00259064
61,2073,0.00272274
62,2000,0.00228413
63,102,-0.000560099
