sample=167
orig_idx	token_id	token_str	shap_value
5	982	worst	1.54598
42	3359	sit	1.34899
40	2151	myself	1.17491
29	197	bad	0.995583
62	199	?	0.980096
64	199	?	0.95854
45	8931	torture	0.947519
33	13682	needless	0.937951
31	1180	worse	0.923301
61	199	?	0.774967
65	199	?	0.739417
63	199	?	0.697737
26	20	only	0.637703
15	3531	sat	0.637592
8	19	have	0.63445
56	1108	thinking	0.591019
24	57	but	0.526848
16	783	through	0.499913
19	499	half	0.479581
43	783	through	0.411169
52	39	what	0.393557
22	138	would	0.346923
4	31	the	0.331286
27	317	went	0.324094
10	1065	seen	0.312639
48	946	second	0.311537
17	31	the	0.30779
20	4707	hoping	0.289665
37	631	could	0.275521
44	31	the	0.243434
38	17	not	0.205723
23	11205	improve	0.200884
14	2	i	0.191713
6	5526	mini-series	0.172309
7	2	i	0.171813
36	2	i	0.144708
41	7	to	0.0781412
30	7	to	0.073127
59	100	made	0.0519769
34	7	to	0.0516413
54	12072	jon	0.0404976
47	9	a	0.0249302
51	18	.	-0.00932442
13	18	.	-0.0326337
32	18	.	-0.0401205
2	233	one	-0.0540256
46	11	of	-0.0576812
50	171	viewing	-0.0703552
49	13618	nights	-0.070885
111	0	<pad>	-0.0935249
95	0	<pad>	-0.0940569
87	0	<pad>	-0.0977668
102	0	<pad>	-0.0983456
83	0	<pad>	-0.0994455
101	0	<pad>	-0.102087
103	0	<pad>	-0.102196
71	0	<pad>	-0.10244
93	0	<pad>	-0.10362
107	0	<pad>	-0.106092
89	0	<pad>	-0.107312
68	0	<pad>	-0.107687
119	0	<pad>	-0.108416
97	0	<pad>	-0.108588
79	0	<pad>	-0.109596
118	0	<pad>	-0.109864
99	0	<pad>	-0.110891
104	0	<pad>	-0.11091
91	0	<pad>	-0.110952
109	0	<pad>	-0.111801
115	0	<pad>	-0.112245
53	88	was	-0.113761
85	0	<pad>	-0.115126
108	0	<pad>	-0.115215
75	0	<pad>	-0.115314
77	0	<pad>	-0.115676
74	0	<pad>	-0.115969
105	0	<pad>	-0.117494
98	0	<pad>	-0.118206
90	0	<pad>	-0.118551
67	0	<pad>	-0.118624
113	0	<pad>	-0.118663
121	0	<pad>	-0.118898
122	0	<pad>	-0.119975
110	0	<pad>	-0.122229
117	0	<pad>	-0.122573
86	0	<pad>	-0.122719
76	0	<pad>	-0.122956
124	0	<pad>	-0.123851
73	0	<pad>	-0.124344
100	0	<pad>	-0.124936
92	0	<pad>	-0.126033
123	0	<pad>	-0.128378
116	0	<pad>	-0.128953
127	0	<pad>	-0.129261
88	0	<pad>	-0.130406
106	0	<pad>	-0.130679
80	0	<pad>	-0.131128
82	0	<pad>	-0.132213
120	0	<pad>	-0.134661
72	0	<pad>	-0.134974
3	11	of	-0.135393
114	0	<pad>	-0.135805
70	0	<pad>	-0.13832
126	0	<pad>	-0.138352
84	0	<pad>	-0.138734
81	0	<pad>	-0.140411
94	0	<pad>	-0.141139
66	0	<pad>	-0.14141
96	0	<pad>	-0.143323
69	0	<pad>	-0.145052
78	0	<pad>	-0.146291
125	0	<pad>	-0.151146
112	0	<pad>	-0.15785
9	1394	ever	-0.158668
28	376	from	-0.331222
57	700	when	-0.355006
39	473	bring	-0.391797
21	47	it	-0.415741
58	370	he	-0.429728
60	70	this	-0.437836
18	73	first	-0.440241
25	47	it	-0.468978
1	41	is	-0.528214
0	70	this	-0.582788
55	18132	voight	-0.615319
12	387	tv	-0.639927
11	135	on	-0.640503
35	79	say	-0.666994
