file_a: /home/margotte/shap-text-gpu/out/sample0_shap_permutation.txt
file_b: /home/margotte/shap-text-gpu/out/sample0_shap.txt
n_compared: 64
mean_diff: 0.0009619589178313614
mean_abs_diff: 0.0037487677016432874
idx	token_id	token_str	shap_a	shap_b	diff	abs_diff
19	2105	around	0.0018306920038802283	-0.00049307	-0.0023237620038802282	0.0023237620038802282
20	2005	for	0.0020001823348658426	-0.000333726	-0.0023339083348658425	0.0023339083348658425
21	1996	the	0.0010528588401419775	-0.000667132	-0.0017199908401419775	0.0017199908401419775
22	2034	first	0.0015158836862870625	0.00561039	0.004094506313712937	0.004094506313712937
23	14108	batch	-0.007869689858385496	0.00318049	0.011050179858385495	0.011050179858385495
24	1997	of	-0.005545328238180706	0.00256884	0.008114168238180706	0.008114168238180706
25	6495	credits	0.0001342184841632843	1.76782e-05	-0.0001165402841632843	0.0001165402841632843
26	2030	or	-0.004597561966095652	-0.00126321	0.0033343519660956524	0.0033343519660956524
27	2017	you	-0.001809434433068548	-0.000217571	0.001591863433068548	0.001591863433068548
28	1005	'	0.0003434249332972935	0.00309068	0.002747255066702707	0.002747255066702707
29	2222	ll	-4.182516464165279e-05	0.00243682	0.002478645164641653	0.002478645164641653
30	2428	really	0.00262890915785517	-0.0005655	-0.00319440915785517	0.00319440915785517
31	3335	miss	-0.001433404694710459	-0.000195997	0.001237407694710459	0.001237407694710459
32	2242	something	-0.004352992932711329	0.000503597	0.004856589932711329	0.004856589932711329
33	999	!	-0.00020973810127803257	0.00043201	0.0006417481012780325	0.0006417481012780325
34	2057	we	-0.000211005232163838	-0.00073313	-0.0005221247678361621	0.0005221247678361621
35	2387	saw	0.003104965867740767	0.0026219	-0.00048306586774076723	0.00048306586774076723
36	2023	this	-0.002664439646261079	0.00331323	0.005977669646261079	0.005977669646261079
37	3185	movie	-0.0036161188036203384	-0.000937975	0.0026781438036203387	0.0026781438036203387
38	2012	at	-0.0023555627890995572	-0.000642562	0.0017130007890995573	0.0017130007890995573
39	1996	the	0.0010572815580027445	2.13979e-05	-0.0010358836580027446	0.0010358836580027446
40	28350	sava	0.0390673503279686	-0.000824478	-0.0398918283279686	0.0398918283279686
