feature_idx,token_id,shap_value
0,101,-0.000597086
1,2043,0.000288886
2,1045,-4.59541e-05
3,2034,0.000693744
4,2963,0.000212978
5,2098,0.00020797
6,2008,0.00313061
7,2045,-0.000352871
8,2001,-0.000173658
9,2183,0.00532207
10,2000,0.00216304
11,2022,-0.000246037
12,1996,0.00269211
13,2088,-0.000683229
14,2003,-0.000321298
15,2025,-0.000161973
16,2438,-0.000715262
17,2678,-0.000402957
18,2208,-8.20253e-05
19,2005,-0.000493237
20,1996,-0.000333724
21,10022,-0.000667132
22,4185,0.005863
23,1010,0.00241141
24,1045,0.00251297
25,2001,1.7678e-05
26,2061,-0.000562493
27,7568,-0.000145699
28,1012,0.00309109
29,2043,0.00250508
30,2009,-0.000576301
31,2633,-0.000195986
32,2234,0.000502722
33,2041,0.000432003
34,1010,-0.000733173
35,1045,0.00254309
36,2001,0.00331195
37,2028,-0.000937975
38,1997,-0.000639325
39,1996,2.1404e-05
40,2034,-0.000823289
41,3924,-0.000820444
42,2000,-9.05421e-05
43,9278,-9.30471e-05
44,2009,-0.000318519
45,1012,-0.000561776
46,1045,-0.000496824
47,12524,-0.000100919
48,2009,0.00264584
49,2005,0.00246631
50,1021,0.00251767
51,2420,-0.000362595
52,1010,0.00234857
53,1998,7.85716e-05
54,1045,-0.000286351
55,2288,-0.000195736
56,2083,0.000611379
57,1996,-0.000951026
58,2878,-0.000312513
59,2208,-0.000175579
60,999,0.00252523
61,999,0.00265952
62,999,0.00222611
63,102,-0.000560817
