sample=5
orig_idx	token_id	token_str	shap_value
22	2	i	2.86803
8	7	to	2.02246
18	31	the	1.53252
74	1	<unk>	1.43643
72	18	.	1.22557
116	31	the	1.15568
106	42	that	1.14016
30	778	came	1.12334
98	57	but	0.970081
24	26	so	0.900952
2	73	first	0.896456
89	18	.	0.786254
57	2629	game	0.765447
60	574	!	0.751883
4	42	that	0.61275
59	574	!	0.611318
84	76	do	0.563683
50	14	,	0.542676
56	259	whole	0.50841
66	33	and	0.503092
0	700	when	0.501007
29	36	finally	0.499792
25	2142	excited	0.402637
12	41	is	0.395068
96	3828	cool	0.391572
70	228	much	0.390476
113	376	from	0.376405
31	258	out	0.299974
110	88	was	0.285701
41	886	rent	0.275678
5	158	there	0.266091
104	540	watch	0.263554
126	3114	blue	0.241714
115	126	with	0.236915
20	26275	64	0.222083
27	700	when	0.20976
73	9	a	0.209387
68	258	out	0.202128
109	47	it	0.176231
119	943	being	0.166966
28	47	it	0.161809
82	383	advice	0.160793
38	73	first	0.152166
76	398	sequel	0.147805
32	14	,	0.146424
13	17	not	0.134252
45	6071	rented	0.133102
86	886	rent	0.127895
36	11	of	0.116915
103	9	a	0.111909
117	1516	exception	0.102402
80	733	take	0.102069
78	1	<unk>	0.101951
49	825	days	0.0960845
112	716	right	0.0867728
51	33	and	0.0845606
46	47	it	0.0821878
69	175	too	0.0793675
75	1	<unk>	0.0639373
101	1272	tired	0.0477034
91	31	the	0.0323508
16	2629	game	0.0185218
108	103	like	0.00350406
55	31	the	-0.00390902
99	233	one	-0.0165514
19	20463	nintendo	-0.0230379
23	88	was	-0.0242978
118	11	of	-0.0265883
62	2629	game	-0.038619
107	433	looks	-0.0686335
71	3670	hints	-0.0781665
7	421	going	-0.0813226
63	88	was	-0.091002
97	14	,	-0.104291
88	2629	game	-0.127223
44	2	i	-0.143002
124	11	of	-0.14431
122	6753	color	-0.148895
33	2	i	-0.158961
58	574	!	-0.168727
95	226	are	-0.178439
65	4627	easy	-0.178476
54	783	through	-0.18826
111	2370	taken	-0.197787
21	14	,	-0.208549
34	88	was	-0.213056
67	2803	gave	-0.221421
43	18	.	-0.235231
79	18	.	-0.239058
125	9	a	-0.254127
37	31	the	-0.259138
105	1	<unk>	-0.260914
48	826	7	-0.269236
15	1619	video	-0.307362
123	627	instead	-0.31354
85	17	not	-0.324939
90	936	sure	-0.334926
6	88	was	-0.347711
100	350	gets	-0.36458
10	31	the	-0.41397
83	33	and	-0.424809
42	47	it	-0.469739
3	1	<unk>	-0.476974
40	7	to	-0.514238
26	18	.	-0.536169
9	8	be	-0.562399
93	33	and	-0.571985
92	7577	guns	-0.580732
35	233	one	-0.623557
14	645	enough	-0.627029
81	83	my	-0.627726
39	2544	ones	-0.641077
121	2119	red	-0.64241
17	222	for	-0.65576
114	1	<unk>	-0.690117
102	11	of	-0.739326
61	31	the	-0.746058
11	289	world	-0.870864
47	222	for	-0.90592
127	6753	color	-0.990566
77	7	to	-1.01601
120	9	a	-1.14147
1	2	i	-1.14645
87	70	this	-1.2385
53	623	got	-1.36134
52	2	i	-1.41485
94	9699	gadgets	-1.45494
64	7	to	-1.58285
