feature_idx,token_id,shap_value
0,101,-0.000591866
1,3649,0.000288967
2,2017,-4.65093e-05
3,2079,0.000740416
4,1010,0.00021298
5,2123,0.000208385
6,1005,0.00308031
7,1056,-0.000391097
8,2644,-0.000173655
9,3666,0.00561047
10,2043,0.00216527
11,2017,-0.00031457
12,2228,0.00270456
13,1996,-0.000688175
14,3185,-0.000321296
15,2003,-0.000161926
16,2058,-0.000721342
17,999,-0.000402956
18,6865,-8.26376e-05
19,2105,-0.00049307
20,2005,-0.000333726
21,1996,-0.000667132
22,2034,0.00561039
23,14108,0.00318049
24,1997,0.00256884
25,6495,1.76782e-05
26,2030,-0.00126321
27,2017,-0.000217571
28,1005,0.00309068
29,2222,0.00243682
30,2428,-0.0005655
31,3335,-0.000195997
32,2242,0.000503597
33,999,0.00043201
34,2057,-0.00073313
35,2387,0.0026219
36,2023,0.00331323
37,3185,-0.000937975
38,2012,-0.000642562
39,1996,2.13979e-05
40,28350,-0.000824478
41,2532,-0.000870992
42,4430,-9.14671e-05
43,2143,-0.000168957
44,2782,-0.000328507
45,1998,-0.000447511
46,2245,-0.00050925
47,2009,-0.000100921
48,2001,0.00263586
49,1996,0.00246579
50,2190,0.00257886
51,1997,-0.000362594
52,1996,0.00240598
53,9129,7.85694e-05
54,1012,-0.000291476
55,2852,-0.000195734
56,3240,0.00054926
57,2050,-0.00100292
58,13351,-0.000702895
59,2003,-0.000254343
60,1037,0.00252746
61,8348,0.00308331
62,2428,0.0023109
63,102,-0.000560813
