feature_idx,token_id,shap_value
0,101,-0.000598577
1,2023,0.000288877
2,2003,-4.63532e-05
3,1037,0.000542391
4,2143,0.000212979
5,2008,0.00020785
6,2296,0.00309646
7,2775,-0.000352939
8,2323,-0.000173648
9,2156,0.0054345
10,2077,0.00214747
11,2027,-0.000264371
12,4982,0.00285038
13,1998,-0.000699802
14,2131,-0.000321292
15,19112,-0.000170314
16,2411,-0.000795444
17,2979,-0.000402924
18,2091,-8.20208e-05
19,4784,-0.000493155
20,2013,-0.000333844
21,4245,-0.000667132
22,2000,0.0056064
23,4245,0.00260136
24,1997,0.00256884
25,2155,1.76718e-05
26,1012,-0.000739286
27,1045,-0.000200073
28,3473,0.0032356
29,2039,0.00250628
30,1999,-0.000565326
31,2048,-0.000196115
32,2367,0.00050361
33,3182,0.000432001
34,2348,-0.000734667
35,2069,0.00260325
36,2322,0.00333079
37,2661,-0.000937957
38,4237,-0.00063973
39,1012,2.14109e-05
40,1045,-0.000838629
41,2253,-0.000871009
42,2000,-9.0511e-05
43,2082,-0.000149356
44,1004,-0.000322463
45,2018,-0.00044571
46,2814,-0.000657098
47,1997,-0.000100926
48,2296,0.00266291
49,3609,0.0025595
50,16438,0.00341737
51,1004,-0.000362598
52,4676,0.0025575
53,2005,7.85807e-05
54,1996,-0.000305414
55,2034,-0.000195738
56,1022,-0.000207597
57,2086,-0.00123096
58,1997,-0.000313201
59,2026,-0.000174132
60,2166,0.00259375
61,1012,0.00266042
62,2059,0.00228926
63,102,-0.00056148
