feature_idx,token_id,shap_value
0,101,-0.000597162
1,2092,0.000288894
2,2004,-4.63255e-05
3,1996,0.000532903
4,17653,0.000212984
5,6083,0.00020797
6,2023,0.00283814
7,2003,-0.000359447
8,2025,-0.00017365
9,1996,0.00541335
10,3391,0.00219257
11,2204,-0.000251865
12,3185,0.00281445
13,1045,-0.000684411
14,2001,-0.000321293
15,5327,-0.000162336
16,2009,-0.000722624
17,2052,-0.00040295
18,2022,-8.19566e-05
19,1012,-0.000493209
20,1045,-0.000333733
21,2245,-0.000667133
22,2009,0.00560746
23,2052,0.0024726
24,2022,0.00257031
25,2307,1.76713e-05
26,2007,-0.000622926
27,2720,-0.000197677
28,3929,0.00326236
29,18446,0.00347813
30,2158,-0.000565387
31,2370,-0.00019558
32,2021,0.000503613
33,13800,0.000432008
34,3973,-0.000733244
35,2025,0.00260063
36,1012,0.00325387
37,2013,-0.000937977
38,1996,-0.0006471
39,2927,2.14001e-05
40,1045,-0.000829452
41,6719,-0.000872338
42,2439,-0.000175837
43,3037,-0.000185846
44,3202,-0.000391426
45,2043,-0.000446189
46,1016,-0.000554813
47,2308,-0.000100926
48,2024,0.0017754
49,2074,0.00246924
50,2437,0.00259171
51,5572,-0.000362595
52,1998,0.002406
53,2059,7.85727e-05
54,3402,-0.000291485
55,2016,-0.000195737
56,2685,0.000535589
57,2041,-0.00100717
58,2045,-0.00038162
59,2003,-0.000165632
60,6721,0.00286121
61,2300,0.00273688
62,2746,0.00232958
63,102,-0.000560838
