sample=130
orig_idx	token_id	token_str	shap_value
94	196	case	1.19153
0	122	just	0.827019
83	999	crime	0.789076
103	999	crime	0.752348
12	1845	beginning	0.732607
71	1343	plot	0.720161
35	14469	arkin	0.59553
8	7426	occur	0.534909
17	268	an	0.486389
38	970	even	0.465312
81	23	his	0.422573
44	17	not	0.407967
14	39	what	0.378372
58	2556	critic	0.292904
105	126	with	0.255845
109	15294	delicious	0.226491
106	544	all	0.225078
30	31	the	0.200335
73	11720	macy	0.164583
41	9	a	0.161116
123	7	to	0.158798
57	71	movie	0.154583
88	11720	macy	0.151933
6	31	the	0.151574
124	9	a	0.149314
92	9	a	0.142952
56	31	the	0.136823
53	11720	macy	0.134935
25	6900	blackmail	0.131566
112	252	add	0.126661
13	18	.	0.126179
110	9724	possibilities	0.120177
60	347	who	0.117669
126	2168	episode	0.117391
116	1525	comedy	0.115742
70	31	the	0.113254
62	31	the	0.110771
84	18	.	0.105783
11	31	the	0.10434
101	347	who	0.10311
23	2980	sex	0.0927452
29	18	.	0.0893928
52	18	.	0.0762639
78	31	the	0.0736527
47	18	.	0.0727664
64	18	.	0.0716989
87	18	.	0.0691291
111	18	.	0.0592186
59	2039	suspect	0.0534748
65	7087	constantly	0.0516606
113	120	some	0.0349024
125	1078	fine	-0.0113337
119	70	this	-0.0242309
127	11	of	-0.0364475
45	2058	unlike	-0.0471769
34	2386	adam	-0.0537919
99	599	will	-0.0581117
20	11	of	-0.060983
95	11	of	-0.0623427
80	11	of	-0.0625159
48	47	it	-0.0640387
108	11	of	-0.0675118
40	11	of	-0.0777429
89	301	fans	-0.0790884
54	14	,	-0.0908414
15	2081	follows	-0.0918937
63	63	film	-0.0939046
91	547	enjoy	-0.0990477
37	41	is	-0.103017
117	14	,	-0.103601
90	599	will	-0.108272
31	6715	investigating	-0.111658
121	67	very	-0.115613
120	41	is	-0.119922
97	14	,	-0.12444
69	14	,	-0.131989
39	747	somewhat	-0.133171
55	145	as	-0.133585
43	14	,	-0.133797
32	6983	officer	-0.140032
74	11232	deeper	-0.141895
76	11232	deeper	-0.149144
22	14	,	-0.151797
115	14971	timed	-0.15626
49	41	is	-0.162215
2	82	in	-0.162795
36	14	,	-0.164701
4	780	we	-0.168659
24	14	,	-0.185834
16	41	is	-0.195247
33	14	,	-0.20237
77	368	into	-0.2033
68	656	turning	-0.212138
102	103	like	-0.21621
10	90	at	-0.21805
67	33	and	-0.221423
72	6990	sends	-0.231351
26	14	,	-0.233047
98	145	as	-0.234318
27	33	and	-0.240389
100	977	those	-0.261461
79	1	<unk>	-0.266046
51	4214	h	-0.266749
85	1918	william	-0.272653
75	33	and	-0.272843
93	9721	slight	-0.289455
118	33	and	-0.29351
1	145	as	-0.314598
104	1	<unk>	-0.324092
86	4214	h	-0.332887
19	10489	web	-0.343028
28	971	murder	-0.351906
107	4586	kinds	-0.389471
5	321	see	-0.405855
46	14717	columbo	-0.416712
50	1918	william	-0.424328
82	803	perfect	-0.429259
61	7576	carries	-0.434321
96	971	murder	-0.438794
114	141	well	-0.452304
21	6473	lies	-0.452734
42	1	<unk>	-0.460227
7	1	<unk>	-0.46971
66	18035	twisting	-0.497945
3	14717	columbo	-0.506398
18	1	<unk>	-0.542422
122	1936	similar	-0.547057
9	716	right	-0.929538
