feature_idx,token_id,shap_value
0,101,-0.000597203
1,2672,0.000289096
2,2057,-4.64268e-05
3,17151,0.000632094
4,14625,0.000212988
5,2074,0.000207964
6,2031,0.0030892
7,1037,-0.000444171
8,6135,-0.000173608
9,2367,0.00551178
10,3168,0.00221432
11,1997,-0.000246222
12,17211,0.00356624
13,1998,-0.000881328
14,2045,-0.000321293
15,2378,-0.000156937
16,2026,-0.000720594
17,4682,-0.000402953
18,1996,-8.21011e-05
19,2069,-0.000493052
20,3291,-0.000335259
21,2182,-0.000667129
22,1012,0.00549038
23,1045,0.00241351
24,2031,0.00257083
25,1037,1.76709e-05
26,7809,-0.000569484
27,1997,-0.000207969
28,2035,0.00315116
29,1996,0.00249255
30,22477,-0.000560204
31,1045,-0.000196139
32,2219,0.000504013
33,1006,0.000432006
34,2164,-0.000752571
35,2216,0.00261184
36,2363,0.00333319
37,2004,-0.000937988
38,9604,-0.000652598
39,1011,2.14048e-05
40,2029,-0.000902407
41,2023,-0.00087281
42,2001,-9.02805e-05
43,1007,-0.000146429
44,1998,-0.000381519
45,2061,-0.000393224
46,1010,-0.00130691
47,2043,-0.000100924
48,5738,0.00286728
49,1037,0.00240907
50,2047,0.00257266
51,2028,-0.000362597
52,1010,0.00234815
53,1045,7.8572e-05
54,2467,-0.000286347
55,6523,-0.000195734
56,2000,0.000556397
57,10047,-0.000899606
58,18939,-0.00124525
59,2005,-0.000185338
60,2107,0.00259028
61,18558,0.00368956
62,2004,0.00228642
63,102,-0.000560409
