sample=0
orig_idx	token_id	token_str	shap_value
22	11410	batch	2.86803
8	333	watching	2.02246
18	1521	around	1.53252
74	27	far	1.43643
72	272	off	1.22557
116	17184	madonna	1.15568
106	935	make	1.14016
30	1104	miss	1.12334
98	421	going	0.970081
24	5286	credits	0.900952
2	76	do	0.896456
89	1803	effects	0.786254
57	124	really	0.765447
60	20	only	0.751883
4	1165	don	0.61275
59	17	not	0.611318
84	158	there	0.563683
50	3206	bunch	0.542676
56	3635	marvel	0.50841
66	57	but	0.503092
0	1009	whatever	0.501007
29	124	really	0.499792
25	131	or	0.402637
12	31	the	0.395068
96	124	really	0.391572
70	2595	pull	0.390476
113	88	was	0.376405
31	669	something	0.299974
110	1642	festival	0.285701
41	1642	festival	0.275678
5	4	'	0.266091
104	4	'	0.263554
126	26	so	0.241714
115	126	with	0.236915
20	31	the	0.222083
27	4	'	0.20976
73	26	so	0.209387
68	450	she	0.202128
109	31	the	0.176231
119	88	was	0.166966
28	1230	ll	0.161809
82	450	she	0.160793
38	31	the	0.152166
76	31	the	0.147805
32	574	!	0.146424
13	71	movie	0.134252
45	88	was	0.133102
86	127	no	0.127895
36	71	movie	0.116915
103	528	couldn	0.111909
117	18	.	0.102402
80	31	the	0.102069
78	18	.	0.101951
49	31	the	0.0960845
112	450	she	0.0867728
51	18	.	0.0845606
46	31	the	0.0821878
69	40	can	0.0793675
75	3157	above	0.0639373
101	18	.	0.0477034
91	26	so	0.0323508
16	574	!	0.0185218
108	7	to	0.00350406
55	9	a	-0.00390902
99	222	for	-0.0165514
19	222	for	-0.0230379
23	11	of	-0.0242978
118	450	she	-0.0265883
62	11	of	-0.038619
107	47	it	-0.0686335
71	47	it	-0.0781665
7	1175	stop	-0.0813226
63	708	her	-0.091002
97	708	her	-0.104291
88	131	or	-0.127223
44	47	it	-0.143002
124	9277	gawd	-0.14431
122	14	,	-0.148895
33	780	we	-0.158961
58	14	,	-0.168727
95	41	is	-0.178439
65	14	,	-0.178476
54	41	is	-0.18826
111	15	because	-0.197787
21	73	first	-0.208549
34	554	saw	-0.213056
67	15	because	-0.221421
43	947	thought	-0.235231
79	90	at	-0.239058
125	14	,	-0.254127
37	90	at	-0.259138
105	5	t	-0.260914
48	11	of	-0.269236
15	176	over	-0.307362
123	83	my	-0.31354
85	94	were	-0.324939
90	14	,	-0.334926
6	5	t	-0.347711
100	47	it	-0.36458
10	310	you	-0.41397
83	819	said	-0.424809
42	33	and	-0.469739
3	14	,	-0.476974
40	63	film	-0.514238
26	310	you	-0.536169
9	700	when	-0.562399
93	310	you	-0.571985
92	624	everything	-0.580732
35	70	this	-0.623557
14	41	is	-0.627029
81	1	<unk>	-0.627726
39	1	<unk>	-0.641077
121	33	and	-0.64241
17	7339	hang	-0.65576
114	4933	dancing	-0.690117
102	1	<unk>	-0.739326
61	15	because	-0.746058
11	1092	think	-0.870864
47	235	best	-0.90592
127	58	beautiful	-0.990566
77	2490	ground	-1.01601
120	1296	excellent	-1.14147
1	310	you	-1.14645
87	20409	wires	-1.2385
53	18545	weber	-1.36134
52	1	<unk>	-1.41485
94	321	see	-1.45494
64	187	performance	-1.58285
